,text,S/NS,O/NO,Y/N,display_text_width,is_quote,favorite_count,retweet_count,hashtags,media_type,mentions_screen_name,description,followers_count,friends_count,listed_count,statuses_count,favourites_count,verified
10,"This is what you get when you vote Democrat, Michigan!

STREETS PACKED IN LANSING -- Hundreds More on Their Way to Protest Tyrannical Governor -- Citizens Protest Crazed Governor Whitmer's Police State Policies (VIDEO) https://t.co/AgX645OptP",S,NO,Y,242,False,2,0,,,,<f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8> #Trump2020 <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>  #MAGA <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>  #KAG  <f0><U+009F><U+009A><U+00AB>Porn <f0><U+009F><U+009A><U+00AB>Lists  I block trolls and people who want a date. Don't DM me.,30693,31871,12,57211,50729,False
11,I live in Lansing. They were all over town and the hospital is exactly in that area. https://t.co/inW9oNB3D1 https://t.co/Wx5qHAyhYe,NS,NO,N,108,True,0,0,,photo,,"bird, skate,paint, IDDM",74,62,5,1418,97,False
12,Crap I meant to write Lansing -,NS,NO,N,31,False,0,0,,,,,10,51,0,31,29,False
13,"@wheelz044 @DanLeach971 So jeff, are you against the protest in Lansing yesterday?",S,NO,Y,58,False,0,0,,,wheelz044 DanLeach971,"comedian, writer, movie critic, meme maker, sports announcer, people watcher, gamer, instagram addict. Co-founder of Why We're Not Famous podcast",197,469,3,6521,36810,False
14,"@KangYeonsil @KevinLevin Our fair city, Lansing Michigan. Here they are blocking ambulances. https://t.co/X8Zt8OCqBy",NS,NO,N,67,False,0,0,,photo,KangYeonsil KevinLevin,Soy politico scientifico. I have various super powers. I really don't like Trumpism. I believe strongly in Social Justice Catholicism.,69,698,2,2724,2060,False
15,"@jason_howerton What. The. Actual. F**k. 

Thatâs it. Getting in my car today and driving to Lansing to join my patriot brothers and sisters. 

Itâs only 34 hours, for this freedom we donât really want when itâs snowing...",NS,NO,Y,206,False,0,0,,,jason_howerton,"Attorney, Businessman, Fatherhood Aficionado, History Junkie. #DemocratsforTrump, #FairTrade, #WalkAway. Minion Sympathizer. Anti: Frum, Rubin, Kristol, Wilson.",204,484,0,2578,3302,False
16,lol am i allowed to tell people who were at the protest yesterday to stay tf out of my store??? not tryna catch that 19 after some dumbasses thought it was a good idea to congregate in Lansing,S,O,N,192,False,0,0,,,,im not who i used to be // $dundunduntonnn // est 19xx #estfam #cashappinbio hehehehehe <f0><U+009F><U+0098><U+0087>,594,499,9,62420,41643,False
17,@DarthVader_o @KXnOMorningRush @HeatherRadio @Sean23Roberts Lansing Michigan this morning. https://t.co/GeqwsAeg7m,NS,NO,N,30,False,2,0,,photo,DarthVader_o KXnOMorningRush HeatherRadio Sean23Roberts,"#FightForIowa #Hawkeyes #CFTigers Is this heaven? No, it's Iowa. <U+271D><f0><U+009F><U+0091><U+00A8><U+200D><f0><U+009F><U+0091><U+00A6><f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8><f0><U+009F><U+0087><U+00A8><f0><U+009F><U+0087><U+00BF><f0><U+009F><U+008F><U+0088><f0><U+009F><U+00A4><U+00BC><U+200D><U+2642><U+FE0F><f0><U+009F><U+008F><U+008A>",103,67,6,13073,10923,False
18,"If there wasnât a chance of spreading Coronavirus to innocent people, getting these at risk for Coronavirus MAGA folks together in Lansing might not have been such a bad idea...",S,O,N,177,False,2,0,,,,"What's with all of the labels, man? https://t.co/oQ3ubUaIJ6",205,325,10,8011,9973,False
19,"All I can say is Gob Bless those patriots who grabbed their AK-47, filled up their Dodge Ram with their stimulus check and headed to Lansing to ignore the CDCâs social distancing guidelines!  These are the REAL heroes!",S,NO,N,218,False,0,0,,,,"What's with all of the labels, man? https://t.co/oQ3ubUaIJ6",205,325,10,8011,9973,False
20,Did that #protesting crownd in Lansing seem large to you?  That was roughly 200 people.  Roughly the same number of people died of #COVID19 in #Michigan the previous day.  THINK.,S,NO,N,178,False,0,0,protesting COVID19 Michigan,,,"https://t.co/YLVZaL55ZH Blog about gardening, cooking, food preservation, environment, & Michigan garden history.",1347,2068,63,2382,4362,False
21,"@JoyAnnReid Lansing, Michigan this morning (Thursday 4/16.) Great day for boating and gardening! https://t.co/F6mONXVQDf",S,NO,N,84,False,2,0,,photo,JoyAnnReid,,4,157,0,238,1942,False
22,"@joshuabickelâs Image of these protesters in Lansing, Michigan is worthy of a Pulitzer. Superb work https://t.co/AGezWigthR",NS,NO,N,99,True,0,0,,,joshuabickel,"Wildlife photographer, workshop leader, writer based in SW FL. Lover of cats, music, sports, current events, critical thinkers, kindness",131,352,4,8251,11940,False
23,"If you know Lansing, it's a one horse town. The only thing that goes on there is politics. They blocked nothing but the local hospital entrance. They are idiots. https://t.co/Yk0s8LMGj5",S,O,N,161,True,1,0,,,,"Social Media Manager/Trained Historian/U.ofM. 
Professional Progressive Flamethrower
No DMs/Anything you need to say can be said on Twitter",1422,2379,72,41899,22468,False
24,I think every single yeeyee truck in Michigan was in Lansing yesterday.,S,O,N,71,False,1,0,,,,Attorney. Williams township trustee. libertarian-ish Republican. Snarky tweeter. donât @ me.,45,561,0,721,1189,False
25,"@ResisterForever Looks like the good citizens of the village have worn their best carharts  to the witch trials. The frenzied masses look the same whether itâs Calvary, Salem or Lansing. They are terrifying in their unthinking rage, but must be resisted",S,O,N,237,False,0,0,,,ResisterForever,,88,259,0,1742,22388,False
26,@JimW53945218 @GaetaSusan @mrsrollindiva And have it In Lansing Michigan right under the Furorâs nose,NS,NO,N,60,False,0,0,,,JimW53945218 GaetaSusan mrsrollindiva,"MAGA LIFE LONG CHICAGO WHITE SOX FAN, CRIMSON TIDE FAN 4 LIFE",79,115,0,4883,13496,False
27,i just saw a tweet where someone thought they exposed the Deep State by parking their car in Lansing yesterday. what a fucking mung.,S,O,N,132,False,0,0,,,,i make music.,187,532,3,18582,3937,False
28,"I find that while people have a right to peaceful protest, people protesting outside the capital in Lansing are irresponsible and selfish. I want to go back to work, too, but not at the risk of removing myself permanently from the lives of my family. #upwith13",S,NO,N,260,False,0,0,upwith13,,,,0,29,0,2,6,False
29,"I love the irony behind the people that protested in Lansing yesterday. Not only did it promote the chance of people getting ill, but metaphorically makes me sick!",S,NO,N,163,False,0,0,,,,Supplier of deep existential commentary. Oh and puns.,89,104,0,47,11,False
30,@RocketNtheNight @badjin_rank But is that the reason that Michiganers are protesting in Lansing?,NS,NO,N,66,False,1,0,,,RocketNtheNight badjin_rank,Radical anti-ideologue. ILYALR,1390,1195,8,48455,158476,False
31,"The irony of the Lansing protests is, by staying in their cars, protestors are acknowledging COVID-19 as a legitimate danger to themselves while also protesting for the abolishment of laws that created that safety in the first place. And",S,NO,N,237,False,0,0,,,,What if girls,42,205,0,207,3452,False
32,"Someone protestors at the gridlock protest at the Capitol in Lansing:
""#Liberty once lost.. is lost forever!!""
Me (at home): ""Well.. so is your #LIFE!""
@GovWhitmer doing the right thing!

#coronavirus #MichiganStrong",S,NO,N,216,False,0,0,Liberty LIFE coronavirus MichiganStrong,,GovWhitmer,"an avid photographer | an electrical engineer by profession | an amateur writer | love cooking, romantic songs and travelling",109,308,2,585,40,False
33,"@MikePerryavatar I look at this photo &amp; ask if the Michigan State Police has a zip tie shortage?

Perhaps Lansing has a shortage of available cells?

Their conspired traffic jam prevent ambulances &amp; hospital employees from getting to hospitals",S,NO,N,268,False,0,0,,,MikePerryavatar,"Analytical engineer, believes Americans are math-phobic. WAS very independent politically. Purveyor of unconventional wisdom based on rationality. I BLOCK NAZIS",1767,1686,3,40979,44157,False
34,I was watching video of the magats protesting Gov Whitmer at Lansing capitol and noticed ONE GUY wearing a N95. Is like to talk to him...<f0><U+009F><U+00A4><U+00A8>,S,NO,N,138,False,11,1,,,,"angry at GOP. Singer, FUCK TRUMP the US SUPER VILLAIN, Nashville fan, @pdwc-pac NO-NO DMâs. No god crap #resist #deletefacebook #teamjustice",20459,21322,7,57287,72979,False
35,@TheRISEofROD This is my home state. I was born and raised in Lansing. The unions have had their heads in the sand for half a century and I thought finally broke the cycle in 2016. What a sad and disappointing decision to elect Witmore. Hopefully they hav,NS,NO,Y,270,False,0,0,MAGA,,TheRISEofROD,"Whiskey enthusiast, yellow light runner, dirt poor, and/or filthy rich. thereâs a fine line between liberalism and mad cow disease. I like cheese.",255,407,0,9428,9704,False
36,@44mmvvpp Presumably Lansing will now be Michigan's next virus hot spot.,NS,NO,N,62,False,1,1,,,44mmvvpp,"<f0><U+009F><U+008C><U+008A>Blue dot in a red state, Panthers fan, dog lover, PhD engineer, immigrant, father, proud American <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8> #resist #pru #NClikesJoe",7659,7885,3,27376,79174,False
37,@Chris_Haines @SenGaryPeters @NYGovCuomo @GovWhitmer The only gridlock in Lansing today was created by a couple hundred horn honking crazies. Michigan is not as restrictive as your Buckeye state.,NS,O,Y,142,False,0,0,,,Chris_Haines SenGaryPeters NYGovCuomo GovWhitmer,"Just an ordinary retired fella, enjoying life. Pundit extraordinaire!",14,19,0,110,1839,False
38,"@TheRickWilson What do you mean you captured my picture and license plate in Lansing yesterday and you wonât let me in the grocery store, pharmacy or hospital without a negative COVID 19 test result !!! I HAVE LIBERTY !!!!",NS,NO,Y,207,False,0,0,,,TheRickWilson,"Wife, Mom, PharmD, advocate of 'facts', dog lover, believer in âThe Reality Policeâ",122,349,0,1678,1968,False
39,@GovMurphy   TIME TO OPEN UP!  I don't think you want a  Lansing protest!  The only places you left open are places that charge a tax!  We're not stupid!!!,S,NO,Y,155,False,0,0,,,GovMurphy,MAGA!!,611,292,1,19265,74005,False
40,"Let the workers work!  Quarantine those who have underlying conditions, the elderly who are susceptible.  We're all going to pull a ""Lansing, MI"" soon!!!  Let businesses work with CV-19 infected so employees won't lose their jobs during quarantine.  So many solutions!! https://t.co/bWMLZdRfH7",NS,NO,Y,269,True,2,1,,,,MAGA!!,611,292,1,19265,74005,False
41,I'm thinking Lansing MI doesn't like their gov and her non-essential bullshit???<f0><U+009F><U+0098><U+0082> https://t.co/h3FtjO3d8Q,S,NO,Y,81,True,8,5,,,,MAGA!!,611,292,1,19265,74005,False
42,YOU GO LANSING!!!  GOOD FOR YOU!!! https://t.co/AN8CbzUphJ,NS,NO,Y,34,True,2,1,,,,MAGA!!,611,292,1,19265,74005,False
43,everybody preordering at lansing was probably a white trump supporter who donât love the governor cause she beefing w trump,NS,NO,N,123,False,0,0,,,,,1773,1681,5,54189,3888,False
44,"About that protest in Lansing, if #AllLivesMatter, then why did you put us all at risk?   #coronavirus #michiganshutdown #MichigandersAgainstExcessiveQuarantine #MichiganProtest #thatwomanfrommichigan",S,NO,N,200,False,5,2,AllLivesMatter coronavirus michiganshutdown MichigandersAgainstExcessiveQuarantine MichiganProtest thatwomanfrommichigan,,,Principal at Sparrow Consulting. Let us hatch your plan!,51,149,2,860,1004,False
45,Brian Williams closed @11thHour last night with this video from a Lansing hospital worker stuck in gridlock of protest against stay-home order. https://t.co/0KI6yT06Ob,NS,NO,N,143,True,0,0,,,11thHour,Detroit Free Press pop culture critic. 2020 is going to be...a year.,2074,734,76,21143,1625,True
46,"In Lansing, Michigan, thereâs a protest of the stateâs stay-home order underway....from protestersâ cars. https://t.co/HyEgPYwF28",S,NO,N,105,True,0,1,,,,Detroit Free Press pop culture critic. 2020 is going to be...a year.,2074,734,76,21143,1625,True
47,Protesters converge on Capitol to protest Michigan stay home order....this is happened down the block from me....puuuuurrreee MICHIGAN... https://t.co/wtMcGUV8yc,S,NO,N,161,False,0,0,,,,I love every part of my life,84,210,3,2230,1685,False
48,"It always makes me irate when I see people in Michigan w/Confederate flags. Always. 

(From today's Trump rally in Lansing, err ""freedom from quarantine"" rally) https://t.co/dvdLPkWmpG",S,NO,N,160,False,33,5,,photo,,"Father, Bay Mills Indian Community Tribal Chairman, and Spartan holding it down here in Michigan",1261,556,22,4968,6398,False
49,"President extends federal distancing guidelines to April 30th: [silence]

Got. Whitmer follows suit with shelter in place order consistent w/those guidelines: [Right wing hate groups descend on Lansing w/guns]

It's almost like the Lansing protests were about something else. <f0><U+009F><U+00A4><U+0094>",NS,NO,N,277,False,3,0,,,,"Father, Bay Mills Indian Community Tribal Chairman, and Spartan holding it down here in Michigan",1261,556,22,4968,6398,False
50,"A hate rally in Lansing today, trying really hard to dress up as something noble. https://t.co/8Jm2QO2VzV",S,NO,N,81,False,15,3,,photo,,"Father, Bay Mills Indian Community Tribal Chairman, and Spartan holding it down here in Michigan",1261,556,22,4968,6398,False
51,@smc429 Iâd bet my life youâve seen whoâs was behind the protests in Lansing Michigan yesterday! Thereâs a name in the article you despise and rightfully so. https://t.co/xGgie3mSFy,NS,NO,N,157,False,0,0,,photo,smc429,Iâm a lover of true democracy. I hate political contributions to either party. It makes you beholding and thatâs not good. NO LIST love travel <f0><U+009F><U+00A7><U+00B3>. Married .,1307,1737,0,3953,10293,False
52,".@briancalley, as a supporter of the president and a beneficiary of the DeVosâ Michigan Freedom Fund, what is your take on the MFF-led organized traffic jam in Lansing today to protest public health safety measures?

https://t.co/bFT7WGtt46",NS,NO,N,240,False,3,2,,,briancalley,"Schoolhouse old-timer. Averse to debt, the incurious and peas. Agnostic about color coordination, unsolicited advice, and the Oxford comma.",1134,708,39,36055,33927,False
53,He tweeted while the @MIGOP protest hampered  Lansing area first responders and medical professionals. https://t.co/50IzALrvpf,NS,NO,N,102,True,1,0,,,MIGOP,"Schoolhouse old-timer. Averse to debt, the incurious and peas. Agnostic about color coordination, unsolicited advice, and the Oxford comma.",1134,708,39,36055,33927,False
54,Time to unfollow.  Surprised we didn't see you on the news in Lansing with a Trump flag and a big truck. https://t.co/wgR85ZZAsO,S,O,N,104,True,0,0,,,,"I Love my Tigers, Music, Golf, WMU and U of M Sports",223,781,9,8990,13776,False
55,"@ECMcLaughlin Yesterday Lansing, Michigan protesters looked like that. At the share and shred COVID-19 Trump rally.",S,NO,N,101,False,0,0,,,ECMcLaughlin,"Hypnotherapist, participant of holistic arts, bicyclist, nature & animal lover, micro brew enthusiast. There is no place like home Michigan.",57,347,1,519,46,False
56,I've lived in Michigan for almost 15 years now. I love the state and for the most part the people that live here. But yesterday's protest in Lansing was fucking embarrassing.,NS,NO,N,174,False,1,0,,,,"Google Chromebook Sales Specialist in Novi, MI. 
Writer, hip hop head, and Knick fan. 
Instagram: ozahran319 
Snapchat: ozahran319",598,1136,9,11393,6029,False
57,@mightysparty @GovWhitmer To be honest I'm embarrassed at the Lansing event. If that represents what Republicans are then I am not a Republican. I'm a Christian that believes all lives are to be valued.,S,NO,N,176,False,0,0,,,mightysparty GovWhitmer,"Faith, Family, Food & Beer - Always in that order Co-founder https://t.co/OM3oFUVsQl Nationâs Most Influential Beer Community #Jesus #Faith #Dad #Beer",13264,8415,151,4198,11808,False
58,"@georginapond1 @jjmckay6man @DJO215 @NathanMentley @DetmerMike That picture is actually in Howell Michigan.  Operation gridlock achieved the following in its drive to Lansing:
*  Blocked streets around Lansing's Sparrow hospital
*  Delayed hospital work",NS,NO,N,264,False,0,0,,,georginapond1 jjmckay6man DJO215 NathanMentley DetmerMike,,49,47,3,12686,1392,False
59,"@GarrettSoldano @patmiletich @ConspiracyFarm1 @imJefferyWilson @FoxNews @TuckerCarlson @seanhannity Rally at drive in movie theaters? Just a thought, I was so proud of people staying civil for the protest in Lansing. <f0><U+009F><U+0087><U+00BA><f0><U+009",NS,NO,Y,146,False,0,0,StandUpMichigan LetsWork,,GarrettSoldano patmiletich ConspiracyFarm1 imJefferyWilson FoxNews TuckerCarlson seanhannity,#wife and #mother #grandma #beliver #veteran interested in #health #politics #nature #distracted by technology just ditched #facebook (yeah!),1004,2138,29,9849,15721,False
60,@PolarBarrett This doesnât even begin to show the number of people in Lansing.  Block and blocks of people siting in there cars.  It didnât look like so many by the capital bc some streets were clo we d off. Vast majority stayed in their cars.,NS,NO,Y,229,False,0,0,,,PolarBarrett,"Wife and mother, Paramedic/ firefighter and Gun carrying Constitutionalist.",4,36,0,12,19,False
61,"@BarbWhalen10 @CJ_isnowblue @realDonaldTrump Think about how paranoid you have to be to walk through the streets of Lansing, Michigan, during a protest and carry an assault rifle.  Their weapons show their fear.",S,NO,N,166,False,0,1,,,BarbWhalen10 CJ_isnowblue realDonaldTrump,Engineering Graduate student with a philosophical and spiritual bent,157,1341,0,1294,229,False
62,The worst part of those fucking idiots in Lansing yesterday is not the fact that they probably got a good number of  themselves sick but they also probably extended this nightmare they were protesting for all of us Michiganders playing by the rules. <f0><U+009F><U+0098><U+00A1>,S,O,N,251,False,1,0,,,,"Lawyer, Mom, Wife, #Biden2020 Member of THE BIDEN FRONT. Donate #Biden2020: https://t.co/2GkeUc7ws8",1198,1659,1,7207,33366,False
63,@_SJPeace_ But we have dummies in Lansing marching for white supremacy...smh,S,O,N,65,False,0,0,,,_SJPeace_,I'm just me! No Fakes,71,267,4,6464,2453,False
64,My anxiety level is through the roof after all of the people converging on Lansing Michigan yesterday. I pray that it doesn't affect my being able to go bavk to work next month but I'm not holding out much hope.,NS,NO,N,211,False,1,0,,,,Fan of everyting Ignis and FFXV.,175,356,1,1740,50710,False
65,24 inches of snow expected in downtown Lansing to keep all the morons away. https://t.co/85IJH4Mpqi,S,O,N,75,True,0,0,,,,Michigan State University (2013). PP-TPW. Relentless.,163,351,1,8440,5153,False
66,"If youâre out there in Lansing protesting your own safety, youâre an idiot. Just my opinion.",S,O,N,92,False,8,0,,,,Michigan State University (2013). PP-TPW. Relentless.,163,351,1,8440,5153,False
67,"@joshtpm @Megawatts55 A friend took this from a hospital in Lansing, Michigan. Apparently the protesters blocked an ambulance from getting to the hospital. https://t.co/RxpA9S4TvL",NS,NO,N,133,False,1,1,,photo,joshtpm Megawatts55,"Surgical Oncologist at Doctor's Hospital, HCA South Atlantic, Sarah Cannon | UT Longhorn | #CART #solidtumor #immunotherapy",678,1675,21,1501,1768,False
68,"@Unsportingiam @Mdday13 @detroitnews Iâm not saying you donât, Iâm saying people protesting in Lansing. I also find it insane we canât buy certain ânon essentialâ goods in the same store. Itâs probably illegal",S,NO,Y,172,False,0,0,,,Unsportingiam Mdday13 detroitnews,my name is my name,59,157,2,2555,1988,False
69,Who the fuck would purposely go to a traffic jam? #lansing,S,NO,N,58,False,1,0,lansing,,,my name is my name,59,157,2,2555,1988,False
70,"April 15, 2020 - God Bless ALL of the Patriots in the State of Michigan who met at the State Capitol in Lansing to protest the Unconstitutional restrictions that Michigan's Democrat Governor added to her already overly restrictive ""Stay At Home"" order. Hopefully this will spread https://t.co/lhuDGdgbkZ",NS,NO,Y,279,False,0,0,,photo,,"South Louisiana female that loves God, my kids, grand kids, my Cajun culture, my great country, our phenomenal President, & a patriotic American to the bone.",208,394,0,3216,226,False
71,"A message for the small number of antivaxxers, delinquents, extremists, vandals, marijuana advocates, vapers and others who parked cars at intersection in Lansing and ran around brandishing semi-automatic weapons. 
@JLAlexander14 @MHforUS @LSJNews #coronavirus @wxyzdetroit https://t.co/SgyhtrSVcV",S,O,N,273,False,0,0,coronavirus,photo,JLAlexander14 MHforUS LSJNews wxyzdetroit,Me,111,271,17,6116,3795,False
72,Michigan protest gets HUGE national attention! https://t.co/moAP43HRMf https://t.co/a9Msu30DMK,NS,NO,Y,70,False,2,0,,photo,,100.3 WNIC is the home of @JayTowers in the Morning and is Detroitâs Christmas Station. Check us out at https://t.co/qmuVixayEK,6250,2040,94,54795,1657,True
73,"@charles_gaba and, the best part is, d/t the one-way street configuration in #Lansing you cannot drive around the Capitol.  So they're gonna sit in the road and honk? While everyone's at home, #SocialDistancing?   @DavidEggert00",S,NO,N,214,False,0,0,Lansing SocialDistancing,,charles_gaba DavidEggert00,"Coloradoan by birth, Michigander by choice. #Hufflepuff, ENTJ, feminist, nurse-midwife, Episcopalian, advocate for peace and social justice #PublicHealth",983,4219,8,47069,158509,False
74,"@nicole_mtclem I doubt 200K people will show up for a march in Lansing.  I might be surprised, but I doubt it",NS,NO,N,94,False,4,0,,,nicole_mtclem,"Coloradoan by birth, Michigander by choice. #Hufflepuff, ENTJ, feminist, nurse-midwife, Episcopalian, advocate for peace and social justice #PublicHealth",983,4219,8,47069,158509,False
75,@jenelaina @nicole_mtclem jeez.  looks like the same crowd who brought guns to the Lansing City Council meetings. <f0><U+009F><U+0098><U+00A1>,NS,NO,N,89,False,1,0,,,jenelaina nicole_mtclem,"Coloradoan by birth, Michigander by choice. #Hufflepuff, ENTJ, feminist, nurse-midwife, Episcopalian, advocate for peace and social justice #PublicHealth",983,4219,8,47069,158509,False
76,"@BLACKSTEMUSA did you the antics in Lansing yesterday?  bunch of white trash republicans, supported by the DeVos family",NS,O,N,105,False,0,0,,,BLACKSTEMUSA,"Coloradoan by birth, Michigander by choice. #Hufflepuff, ENTJ, feminist, nurse-midwife, Episcopalian, advocate for peace and social justice #PublicHealth",983,4219,8,47069,158509,False
77,"The ironic thing about these protests is that when these same people start to get sick they are going to want the GOVERNMENT to make sure they are taken care of &amp; won't see that as 'overreach' 

#COVID19 #CoronaVirus #FactsMatter #wtp2020 
https://t.co/tv50bcf8Er",S,NO,N,267,False,1,0,COVID19 CoronaVirus FactsMatter wtp2020,,,I drink and I know things   #Resistance #Resist <f0><U+009F><U+008C><U+008A><f0><U+009F><U+008C><U+008A> #OneVoice1 #Z4 #WTPteam,6255,6128,137,170549,609,False
78,"@FogerteyKara @SethAbramson Lansing Michigan was full of them today.  Their âGridlock Rallyâ protesting the governor today was insane.  No masks , no social distancing, no gloves.  âIâm a Christian, I donât have to worry about itâ was one expl",S,NO,N,229,False,4,0,,,FogerteyKara SethAbramson,#VoteBlueNoMatterWho #TheResistance #NotoriousRBG #Bluewave #Resist #AmazonRainforestFire #ProtectWildlife #ProtectNature #ProtectEarth. No DM pls.,3381,4684,9,6275,27583,False
79,@kkimpel @FrankPKing @crosa1988 Protesters said the stay home order is crippling their businesses and some called on the governor to be recalled. https://t.co/FNFZ00JGpt,NS,NO,Y,137,False,0,0,,,kkimpel FrankPKing crosa1988,#VoteBlueNoMatterWho #TheResistance #NotoriousRBG #Bluewave #Resist #AmazonRainforestFire #ProtectWildlife #ProtectNature #ProtectEarth. No DM pls.,3381,4684,9,6275,27583,False
80,"Yet these #Trump supporters call themselves #ProLife - blocking Hospital Workers from getting to work. 
#Lansing https://t.co/Tl42VMk22E",S,NO,N,112,True,0,0,Trump ProLife Lansing,,,@GreenfieldIowa #Resist #FBR #LiberalDemocrat #Veterans #BLM #ProChoice #GunSense #Unions #ERAnow #SupportLGBT #Environment #AnimalRights #RedSox,1711,2037,1,11769,6547,False
81,"@anauburntiger This stunt prevented ambulances from getting to patients at home and back to the hospital. And I bet you call yourself ProLife. 
Go hug someone with #COVID19 &amp; in 2 weeks see what it feels like to have a respirator breathe for you.
#L",S,NO,N,244,False,1,1,COVID19 Lansing,photo,anauburntiger,@GreenfieldIowa #Resist #FBR #LiberalDemocrat #Veterans #BLM #ProChoice #GunSense #Unions #ERAnow #SupportLGBT #Environment #AnimalRights #RedSox,1711,2037,1,11769,6547,False
82,@matthews_mark These jackasses are blocking Lansing ambulances. https://t.co/9z8KC9Nse2,NS,O,N,48,False,2,0,,photo,matthews_mark,@GreenfieldIowa #Resist #FBR #LiberalDemocrat #Veterans #BLM #ProChoice #GunSense #Unions #ERAnow #SupportLGBT #Environment #AnimalRights #RedSox,1711,2037,1,11769,6547,False
